ID,질문,대답,
24, 18학번 전공필수 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.521090366
25,17학번 졸업기준이 궁금해요,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.808743618
26,이석원 교수님 번호 내놔,031)8041-0462,0.884583893
27,강대진 교수님 이메일 좀요,djkang@kpu.ac.kr,0.232909508
28,B동 과사 번호 알려주오,031-8041-0450,0.63653053
29,계측공학에 대해 알려주소,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다.",0.625419016
30,20학번 전필,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.593477482
31,주형길 교수님 번호 알려주오,031)8041-0459,0.760225838
32,PLC제어는 뭐 가르쳐요?,"전공선택
자동화에 많이 활용되고 있는 PLC-공압 시스템 구축을 위해 공압제어기술의 개념, 공압발생장치, 작동요소, 제어요소(공압 밸브) 등의 공압시스템의 구성요소들의 종류, 작동원리, 시스템에서의 역할을 배우며, 전기 시퀀스 구성요소, 원리및 용도들을 익혀 전기-공압회로 설계법 등을 이론 및 실습을 통해 익힌다. 또한 자동화 시스템에서 제어기로 가장 많이 활용되고 있는 PLC의 구성과 원리, 선정법, PLC프로그래밍들을 이론과 실습으로 익힌다.",0.788431163
33,메카트로닉스 공학 학생부회장 누굽니까?,안태준,0.065925795
34,시스템제어공학은 뭐 가르치나요?,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등",0.594497814
35,17학번 전공필수과목은?,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2",0.940585799
36,메카 과사 어디오,공학관 B동 307호,0.703328579
37,스마트팩토리HMI는 뭐 배우노?,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다.",0.77633737
38,이원봉 교수님 연락처 알려주오,031)8041-0384,0.962460266
39,김기현 교수님 연락처 알려주오,031)8041-0460,0.89835079
40,핵심교양 과목 알려주시오,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.814946313
41,메카트로닉스 공학과 학생 회장 누구요?,임현종,0.479317797
42,제어공학은 뭘 배우나요?,"전공필수
동적 시스템의 특성, 모델링 및 이를 제어하는 기법에 대하여 학습한다.",0.167663852
43,주형길 교수님 연구실 위치 좀 알려줘,공학관 B동 312호,0.878552337
44,남윤석 교수님 번호 알려주오,031)8041-0456,0.256791791
45,메카 학과장님,정명진 교수님,0.48481291
46,B동 학과 행정실 운영시간 좀 알려줘,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00",0.682665535
47,전기회로1에 대해 알려주면 감사하겠습니다,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다.",0.58175567
48, 18학번 전공필수과목은?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.901070468
49,심재홍 교수님 이메일 좀,jhshim@kpu.ac.kr,0.622410235
50,메카 학과 행정실 위치가 어디오,공학관 B동 307호,0.535988861
51,PC제어응용에 대해 알려주면 감사하겠습니다,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS232, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다.",0.777759851
52,B동 학과 사무실 번호 알려줘,031-8041-0450,0.35834632
53,스마트팩토리디바이스제어는 뭐 가르치지?,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출",0.017160051
54,메카 학생 회장 좀요,임현종,0.702239302
55,메카 랩실 뭐가 있을까요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.98057794
56,메카트로닉스 공학과 학생회장 누구요?,임현종,0.798268918
57,제어공학에 대해 알려주소,"전공필수
동적 시스템의 특성, 모델링 및 이를 제어하는 기법에 대하여 학습한다.",0.553022753
58,메카 EH 뭐가 있노?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.72571197
59,무슨 메카 랩실이 있어?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.238823223
60,강대진 교수님 연락처 알려줘,031)8041-0453,0.191785472
61,메카트로닉스 공학 학생 회장 누구?,임현종,0.376405193
62,전기회로2는 뭘 배우지?,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다.",0.841661922
63,제어용통신은 뭐 가르쳐요?,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양",0.259987726
64,남대훈 교수님 번호 좀요,031)8041-0457,0.152657905
65,16학번 졸업요건을 알려주오,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.670231152
66,C프로그래밍2는 뭐 배우노?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.078493092
67,계측공학은 뭐 배워?,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다.",0.985247222
68,메카트로닉스 공학과 융합전공 추천해줘,"스마트팩토리, 인공지능융합,지능형로봇융합",0.387556768
69,마이크로컴퓨터구조에 대해 알려주소,"전공선택
마이크로프로세서의 중앙처리 장치, 레지스터, 산술연산장치 및 내부 주변회로 등의 하드웨어 구조를 이해하고, 기억장치 및 외부 주변 장치와의 인터페이스 방법 등에 대해 학습하여 마이크로컴퓨터시스템의 구축방법을 습득한다. 또한 마이크로컴퓨터 프로그래밍을 위한 C언어를 이해하고 C언어를 이용하여 마이크로컴퓨터 시스템을 동작시키는 방법을 실습과 더불어 습득한다.",0.626369696
70,17학번 졸업기준 좀 알려주오,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.231720352
71,메카 EH 뭐 있는지 알려주라,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.983171525
72,메카 학과장님이 누구냐?,정명진 교수님,0.546707784
73,17학번 졸업기준은 어떻게 돼?,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.459241464
74,컴퓨터응용설계2는 뭐 가르치세요?,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 3차원 구조물을 설계할 수 있는 능력을 갖게 한다.",0.853241068
75,C프로그래밍1은 뭐 가르치지?,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다.",0.208935055
76,C프로그래밍2는 뭘 배울까요?,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.395494797
77, 18학번 전필 좀 알려줄래요?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.430889815
78,전자회로실험은 뭐 배워?,"전공필수
전자회로에서 학습한 전자소자와 회로에 대한 실습을 통해 동작 원리와 특성을 이해한다. 회로 분석과 설계 능력을 배양하기 위해 계측기와 분석 S/W 사용법을 학습한다.",0.671209163
79,이양희 교수님 연구실 어디노,공학관 B동 309호,0.969077821
80,C프로그래밍1은 뭐 가르치나요?,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다.",0.296595701
81,전기회로1은 뭘 배워?,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다.",0.811265568
82,재료역학에 대해 알려줘,"전공선택
각 부재의 안정성을 판단하기 위해 구조물의 역학적 해석능력을 키우고 이를 반영한 구조물 설계개선능력을 갖추도록 하는데 있다.",0.759901385
83,이원봉 교수님 연구실 위치 좀 알려주노,공학관 C동 206호,0.302976362
84,메카 학과 사무실 운영시간 좀 알려줘,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00",0.822915663
85,이승훈 교수님 연구실 좀 알려주오,공학관 B동 409호,0.689380232
86,19학번 전필 좀 알려줄래요?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.404525184
87,기계요소설계는 뭐 배우노?,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다.",0.086778985
88,메카 연구실 어떤게 있을까요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.696675924
89,서보전동기1에 대해 알려주세요,"전공선택
서보 제어시스템의 주요 구동원으로 이용되는 전동기에 대한 이론과 실험을 병행하여 배운다. 이 교과의 이수로 제어시스템 설계를 전동기의 특성, 전달함수 등을 알 수 있고 전동기의 운용상의 일반적 문제점을 자율적으로 해결할 수 있다.",0.360004098
90,시스템제어공학에 대해 알려줘요,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등",0.37316499
91,제어용통신에 대해 알려줘,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양",0.692940722
92,메카트로닉스공학과 관련 융합전공 좀,"스마트팩토리, 인공지능융합,지능형로봇융합",0.241855337
93,전기회로2에 대해 알려주세요,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다.",0.330442901
94,B동 과사 위치가 어디오,공학관 B동 307호,0.222168925
95,17학번 전공필수 알려주오,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2",0.515712067
96,메카 학생회장 좀 알려주실래요?,임현종,0.174332313
97,강대진 교수님 연구실 알려주오,공학관 B동 306호,0.475867939
98,핵교 좀요,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.819894488
99,센서는 뭐 가르치세요?,"전공선택
제어 대상의 상태를 파악하기 위해 각종 센서의 원리와 활용법을 학습하고 측정대상에 적합한 센서를 선정 및 응용하는 능력을 갖도록 하는데 있다.",0.728688208
100,시스템제어공학은 뭘 배우지?,"전공선택
근궤적해석, 주파수응답해석, 제어시스템 설계기법 및 PID 제어기 튜닝방법 등",0.815980109
101,창의적공학설계는 뭘 배우지?,"전공필수
메카트로닉스공학 입문자에게 공학에 대한 이해와 전공이수에 필요한 기초이론을 가르쳐 전공에 대한 이해도를 높인다.",0.4632488
102,신호및시스템은 뭘 배울까?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다.",0.655212078
103,B동 과사 운영시간 좀요,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00",0.019387679
104,이익현 교수님 이메일 뭐노,ihlee@kpu.ac.kr,0.74866187
105,메카 추천 부전공이 뭐뭐있니?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.17290611
106,B동 학과 행정실 위치 알려주오,공학관 B동 307호,0.77509088
107,메카 관련 융합전공 뭐있냐?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.478478566
108,기계요소설계는 뭘 배울까요?,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다.",0.217051365
109,이양희 교수님 번호,031)8041-0455,0.673942009
110,동역학은 뭘 배울까?,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다.",0.634495003
111,메카트로닉스공학과 관련 부전공,"스마트팩토리, 인공지능융합,지능형로봇융합",0.60730649
112,남윤석 교수님 번호 알려줘,031)8041-0456,0.754873264
113,주형길 교수님 연락처 알려주오,031)8041-0459,0.083226298
114, 18학번 전필 좀 알려줄래?,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.977292111
115,허헌 교수님 이메일 알려줘,heon.huh@kpu.ac.kr,0.198362984
116,핵심교양 뭐노,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.563564753
117,전기회로2에 대해 알려주시오,"전공필수
가정 및 산업용의 실용적인 교류회로를 이해한다. 교류회로에서 사용되는 부하소자인 저항, 인덕턴스 및 커패시턴스의 특성을 이해하고 이를 이용한 회로구성 및 해석을 중점적으로 배운다. 또한 실험을 통하여 전반적인 전기회로 특성을 이해한다.",0.530388356
118,마이크로컴퓨터응용은 뭘 배우지?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.246497277
119,김효영 교수님 연구실 위치 좀 알려줘,공학관 B동 308호,0.108164975
120,신호및시스템은 뭘 배우지?,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다.",0.465675927
121,19학번 전공필수 내놔,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.832166028
122,스마트팩토리디바이스제어에 대해 알려주시오,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출",0.814672203
123,이양희 교수님 이메일 뭐노,yhyee@kpu.ac.kr,0.140641974
124,강대진 교수님 연락처 알려주오,031)8041-0453,0.429862854
125,차동혁 교수님 연락처,031)8041-0454,0.842203446
126,C프로그래밍2에 대해 알려주시면 감사하겠습니다,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.692856598
127,필수교양 과목 뭐야,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.86735263
128,메카 학과 행정실 어디야,공학관 B동 307호,0.343173737
129,메카트로닉스공학과 관련 부전공 좀,"스마트팩토리, 인공지능융합,지능형로봇융합",0.372114754
130,주형길 교수님 연구실 좀 알려줘,공학관 B동 312호,0.922805309
131,신호및시스템에 대해 알려주세요,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다.",0.431155018
132,B동 학과 사무실 번호 좀,031-8041-0450,0.969151479
133,17학번 졸업요건이 뭐지?,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.366365599
134,메카트로닉스입문에 대해 알려주시면 감사하겠습니다,"전공필수
메카트로닉스공학 입문자에게 공학에 대한 이해와 전공이수에 필요한 기초이론을 가르쳐 전공에 대한 이해도를 높인다.",0.696159976
135,19학번 전공필수 알려주오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.665382544
136,계측공학은 뭐 가르치세요?,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다.",0.556281267
137,메카트로닉스 공학과 융합전공 추천해주오,"스마트팩토리, 인공지능융합,지능형로봇융합",0.838373236
138,메카트로닉스 공학 학생 부회장 누구?,안태준,0.13323863
139,성적우수장학생 취득학점 알려주오,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       9학점 이상",0.341114057
140,메카 과사 위치 좀 알 수 있을까요?,공학관 B동 307호,0.64900627
141,심재홍 교수님 연락처 알려줘,031)8041-0458,0.795856695
